feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy,sample_size,yes_votes,no_votes
party_region_Democrat_Northeast,2.5225993753737868,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
race_id_Caucasian,2.370850158412077,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
race_id_Black,2.292853096938524,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
gender_F,1.962877560098512,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Republican_Southwest,1.939902454163871,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Democrat_Great Lakes,1.894525533666723,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Republican_Great Lakes,1.891570798483901,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Democrat_Southeast,1.7715195893516615,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Democrat_Mid-Atlantic,1.6739363883270564,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
region_Far West,1.6670119407779298,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
region_Northeast,1.4754577267305713,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
clean_religion_Protestant Christian,1.3415449756348097,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Democrat_Southwest,1.3397560450093637,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Republican_Plains,1.268803289855253,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Republican_Mid-Atlantic,1.211656948389294,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Republican_Far West,1.1534406354026636,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
military_service,1.0828988264350603,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
region_Southeast,1.065288703490367,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
gender_M,1.0536061766037657,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Republican_Northeast,1.0471416486432161,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
clean_religion_Unaffiliation/Unknown,1.0029528519637638,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
clean_religion_Jewish,0.9667910392904983,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
experience_ratio,0.8089988374157272,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
staffer_turnover_rate,0.7982368145221318,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Republican_Rocky Mountain,0.7746938328594817,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
race_id_Hispanic,0.699465575432498,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
region_Plains,0.6944543399680985,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
region_Southwest,0.6001464091545071,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Democrat_Plains,0.5743489498871545,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
seniority_Junior,0.5285637608360326,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
years_of_staffer_experience,0.5132708536031115,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
region_Mid-Atlantic,0.46227943993776244,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Democrat_Rocky Mountain,0.436150826338115,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
years_of_experience,0.39927887143594454,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
race_id_Asian American/Pacific Islander,0.39761966772599777,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
clean_religion_Mormon,0.3547674497829911,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
region_Rocky Mountain,0.33854300652136654,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
seniority_Freshman,0.33081237806021907,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
clean_religion_Hindu,0.2627616899363765,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
seniority_Senior,0.17478119808452347,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
clean_religion_Muslim,0.16162445314869914,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
age,0.12184042332571944,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
clean_religion_Buddhist,0.10762378177750305,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
seniority_Mid,0.10727583921030695,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
clean_religion_Catholic,0.10382999279570602,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
race_id_Arab,0.1019379517446423,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
race_id_Native American,0.08761824323625746,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
race_id_Biracial,0.07973939679070254,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
is_married,0.007520279671964081,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
region_Great Lakes,0.002954735182822349,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Independent_Northeast,0.0,neutral,LogisticRegression,119,1,House,4,1.0,423,209,214
party_cosponsor_Republican_1,0.0,neutral,LogisticRegression,119,1,House,4,1.0,423,209,214
party_cosponsor_Democrat_1,0.0,neutral,LogisticRegression,119,1,House,4,1.0,423,209,214
party_cosponsor_Independent_1,0.0,neutral,LogisticRegression,119,1,House,4,1.0,423,209,214
party_Independent,0.0,neutral,LogisticRegression,119,1,House,4,1.0,423,209,214
committee_membership,0.0,neutral,LogisticRegression,119,1,House,4,1.0,423,209,214
cosponsorship_status,0.0,neutral,LogisticRegression,119,1,House,4,1.0,423,209,214
party_cosponsor_Independent_0,0.0,neutral,LogisticRegression,119,1,House,4,1.0,423,209,214
party_Democrat,11.356320016123995,negative,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
party_cosponsor_Democrat_0,11.356320016123995,negative,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
party_cosponsor_Republican_0,10.783427952184468,positive,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
party_Republican,10.783427952184468,positive,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
party_region_Democrat_Far West,3.323505907760417,negative,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
party_region_Democrat_Northeast,2.756759941917851,negative,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
party_region_Republican_Southeast,2.616543317969689,positive,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
region_Southwest,2.4624697271599096,positive,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
race_id_Black,2.4430718638285223,negative,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
gender_F,2.22731355660888,negative,LogisticRegression,119,1,House,5,0.9976415094339622,424,215,209
