feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy
region_Southeast,0.0,positive,XGBoost,119,1,House,3,1.0
gender_F,0.0,negative,XGBoost,119,1,House,3,1.0
age,0.0,negative,XGBoost,119,1,House,3,1.0
years_of_experience,0.0,negative,XGBoost,119,1,House,3,1.0
years_of_staffer_experience,0.0,negative,XGBoost,119,1,House,3,1.0
staffer_turnover_rate,0.0,negative,XGBoost,119,1,House,3,1.0
committee_membership,0.0,neutral,XGBoost,119,1,House,3,1.0
cosponsorship_status,0.0,neutral,XGBoost,119,1,House,3,1.0
is_married,0.0,neutral,XGBoost,119,1,House,3,1.0
region_Southwest,0.0,positive,XGBoost,119,1,House,3,1.0
party_Independent,0.0,neutral,XGBoost,119,1,House,3,1.0
gender_M,0.0,neutral,XGBoost,119,1,House,3,1.0
clean_religion_Protestant Christian,0.0,neutral,XGBoost,119,1,House,3,1.0
clean_religion_Buddhist,0.0,negative,XGBoost,119,1,House,3,1.0
clean_religion_Catholic,0.0,negative,XGBoost,119,1,House,3,1.0
clean_religion_Hindu,0.0,negative,XGBoost,119,1,House,3,1.0
clean_religion_Jewish,0.0,negative,XGBoost,119,1,House,3,1.0
clean_religion_Mormon,0.0,positive,XGBoost,119,1,House,3,1.0
clean_religion_Muslim,0.0,negative,XGBoost,119,1,House,3,1.0
clean_religion_Unaffiliation/Unknown,0.0,negative,XGBoost,119,1,House,3,1.0
race_id_Native American,0.0,positive,XGBoost,119,1,House,3,1.0
race_id_Arab,0.0,negative,XGBoost,119,1,House,3,1.0
race_id_Asian American/Pacific Islander,0.0,negative,XGBoost,119,1,House,3,1.0
race_id_Biracial,0.0,negative,XGBoost,119,1,House,3,1.0
race_id_Black,0.0,negative,XGBoost,119,1,House,3,1.0
race_id_Caucasian,0.0,neutral,XGBoost,119,1,House,3,1.0
race_id_Hispanic,0.0,negative,XGBoost,119,1,House,3,1.0
military_service,0.0,positive,XGBoost,119,1,House,3,1.0
party_Democrat,28.614902023897614,positive,LogisticRegression,119,1,House,4,1.0
party_Republican,28.614887650788646,negative,LogisticRegression,119,1,House,4,1.0
race_id_Caucasian,4.714589478859018,negative,LogisticRegression,119,1,House,4,1.0
race_id_Black,4.0724431671337955,positive,LogisticRegression,119,1,House,4,1.0
region_Far West,3.3526032256885907,positive,LogisticRegression,119,1,House,4,1.0
clean_religion_Protestant Christian,3.1579036280582318,negative,LogisticRegression,119,1,House,4,1.0
region_Northeast,2.824579323545913,positive,LogisticRegression,119,1,House,4,1.0
region_Southeast,2.710157677690281,negative,LogisticRegression,119,1,House,4,1.0
gender_F,2.340776356358826,positive,LogisticRegression,119,1,House,4,1.0
gender_M,2.340761983249869,negative,LogisticRegression,119,1,House,4,1.0
military_service,2.08883348354913,negative,LogisticRegression,119,1,House,4,1.0
clean_religion_Jewish,1.8540641592963587,positive,LogisticRegression,119,1,House,4,1.0
clean_religion_Unaffiliation/Unknown,1.7748820124065559,positive,LogisticRegression,119,1,House,4,1.0
region_Plains,1.6046378045515235,negative,LogisticRegression,119,1,House,4,1.0
region_Southwest,1.6031505785961915,negative,LogisticRegression,119,1,House,4,1.0
years_of_experience,1.170833790368306,positive,LogisticRegression,119,1,House,4,1.0
region_Mid-Atlantic,0.8293917514687918,positive,LogisticRegression,119,1,House,4,1.0
clean_religion_Mormon,0.7874620227038995,negative,LogisticRegression,119,1,House,4,1.0
race_id_Hispanic,0.7370914989712937,positive,LogisticRegression,119,1,House,4,1.0
region_Rocky Mountain,0.7111147306000144,negative,LogisticRegression,119,1,House,4,1.0
